company              city              position                  contract        unsolicited        tech                                date                   answer             website
easymile             toulouse          fullstack                 alternance      yes                /                                   02/09/2025             /                  la bonne boite
ze-watt              toulouse          fullstack                 alternance      yes                /                                   02/09/2025             /                  la bonne boite
menaps               toulouse          fullstack                 alternance      yes                /                                   02/09/2025             /                  menaps
pixpay               paris             fullstack                 alternance      no                 next, nest                          02/09/2025             no                 wttj
the quantic factory  paris             fullstack                 alternance      no                 front, data                         06/09/2025             /                  wttj
perfero territoire   marseille         fullstack                 alternance      no                 /                                   06/09/2025             /                  la bonne alternance
ONaCVG               paris             fullstack                 alternance      no                 /                                   06/09/2025             /                  pass               
avancial             st denis          fullstack                 alternance      no                 java (angular surement)             06/09/2025             appel(fait)        jeunes d'avenirs recrut
mewo campus          metz              fullstack                 alternance      no                 /                                   06/09/2025             /                  hellowork              
absup                lyon              fullstack                 alternance      no                 /                                   06/09/2025             appel(fait)        hellowork              
yahade               paris             fullstack                 alternance      no                 /                                   06/09/2025             /                  la bonne alternance    
koremi               nice              fullstack                 alternance      no                 /                                   06/09/2025             /                  la bonne alternance    
manpower             st etienne        fullstack                 alternance      no                 python, javascript                  06/09/2025             /                  la bonne alternance    
jobposting           lyon              fullstack                 alternance      no                 php, node                           15/09/2025             /                  hellowork              
martin brower        lisses            fullstack                 alternance      no                 java, php                           15/09/2025             /                  hellowork              
internet factory     paris             fullstack                 alternance      no                 /                                   15/09/2025             /                  hellowork              
engie                paris             fullstack                 alternance      no                 C# (de preference)                  15/09/2025             /                  linkedin               
afnor group          st denis          fullstack                 alternance      no                 php (plugins wordpress)             15/09/2025             /                  linkedin               
cagnot               paris             fullstack                 alternance      no                 php (plugins wordpress)             15/09/2025             /                  linkedin               
innov'atm            cugnaux           fullstack                 alternance      no                 /                                   15/09/2025             /                  linkedin               
skeepers             rennes            fullstack                 alternance      no                 /                                   15/09/2025             /                  linkedin               
ginger               toulouse          fullstack                 alternance      no                 /                                   15/09/2025             /                  linkedin               
dawan                toulouse          fullstack                 alternance      no                 /                                   15/09/2025             /                  linkedin               
shippingbo           toulouse          fullstack                 alternance      no                 ruby, rails, js                     15/09/2025             /                  linkedin               
mondial tv           paris             fullstack                 alternance      no                 /                                   15/09/2025             /                  linkedin               
lws                  nancy             fullstack                 alternance      no                 php                                 15/09/2025             /                  email                  
ciril group          lyon              fullstack                 alternance      no                 /                                   15/09/2025             /                  apec                  
h3 hitema (ecole)    st ouen           fullstack                 alternance      no                 /                                   15/09/2025             /                  apec                  
chambres d'agric.    toulouse          fullstack                 cdd 1an         no                 next, react                         15/09/2025             /                  indeed                
infosys              toulouse          fullstack                 cdi             no                 java, angular                       15/09/2025             /                  indeed                
wiifor               toulouse          fullstack                 cdi             no                 java, angular                       15/09/2025             /                  email                
favikon              paris             fullstack                 alternance      no                 react, node, redux                  16/09/2025             /                  wttj               
iportego             marseille         fullstack                 cdi             no                 react, node, redux, osint           16/09/2025             /                  linkedin           
ciril group          toulouse          fullstack                 alternance      no                 react, php                          16/09/2025             /                  linkedin              
wrodline             louches           fullstack                 alternance      no                 java, spring, angular               17/09/2025             /                  linkedin              
